,tweet_id,source,text,expanded_urls,rating_numerator,rating_denominator,name,dogs_stage,year,month,day,url,favorite_count,retweet_count,jpg_url,dog_type,confidence
0,667405339315146752,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Biden. Biden just tripped... 7/10 ,https://twitter.com/dog_rates/status/667405339315146752/photo/1,7,10,Biden,,2015,11,19,https://t.co/3Fm9PwLju1,444.0,213.0,https://pbs.twimg.com/media/CUMZnmhUEAEbtis.jpg,Saint_Bernard,0.381377
1,667435689202614272,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Ermergerd 12/10 ,https://twitter.com/dog_rates/status/667435689202614272/photo/1,12,10,,,2015,11,19,https://t.co/PQni2sjPsm,293.0,81.0,https://pbs.twimg.com/media/CUM1OHCW4AEgGSi.jpg,Rottweiler,0.999091
2,667437278097252352,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Never seen this breed before. Very pointy pup. Hurts when you cuddle. Still cute tho. 10/10 ,https://twitter.com/dog_rates/status/667437278097252352/photo/1,10,10,,,2015,11,19,https://t.co/97HuBrVuOx,427.0,225.0,,,
3,667443425659232256,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Exotic dog here. Long neck. Weird paws. Obsessed with bread. Waddles. Flies sometimes (wow!). Very happy dog. 6/10 ,https://twitter.com/dog_rates/status/667443425659232256/photo/1,6,10,,,2015,11,19,https://t.co/rqO4I3nf2N,745.0,546.0,,,
4,667453023279554560,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Meet Cupcake. I would do unspeakable things for Cupcake. 11/10 ,https://twitter.com/dog_rates/status/667453023279554560/photo/1,11,10,Cupcake,,2015,11,19,https://t.co/6uLCWR9Efa,297.0,84.0,https://pbs.twimg.com/media/CUNE_OSUwAAdHhX.jpg,Labrador_retriever,0.8256700000000001
5,667455448082227200,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",This is Reese and Twips. Reese protects Twips. Both think they're too good for seat belts. Simply reckless. 7/10s ,https://twitter.com/dog_rates/status/667455448082227200/photo/1,7,10,Reese,,2015,11,19,https://t.co/uLzRi1drVK,182.0,56.0,https://pbs.twimg.com/media/CUNHMXTU8AAS3HH.jpg,Tibetan_terrier,0.676376
6,667470559035432960,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",This is a northern Wahoo named Kohl. He runs this town. Chases tumbleweeds. Draws gun wicked fast. 11/10 legendary ,https://twitter.com/dog_rates/status/667470559035432960/photo/1,11,10,,,2015,11,19,https://t.co/J4vn2rOYFk,243.0,90.0,https://pbs.twimg.com/media/CUNU78YWEAECmpB.jpg,toy_poodle,0.304175
7,667491009379606528,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Two dogs in this one. Both are rare Jujitsu Pythagoreans. One slightly whiter than other. Long legs. 7/10 and 8/10 ,https://twitter.com/dog_rates/status/667491009379606528/photo/1,7,10,,,2015,11,19,https://t.co/ITxxcc4v9y,504.0,212.0,https://pbs.twimg.com/media/CUNniSlUYAEj1Jl.jpg,borzoi,0.852088
8,667495797102141441,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",This is Philippe from Soviet Russia. Commanding leader. Misplaced other boot. Hung flag himself. 9/10 charismatic af ,https://twitter.com/dog_rates/status/667495797102141441/photo/1,9,10,Philippe,,2015,11,20,https://t.co/5NhPV8E45i,500.0,252.0,https://pbs.twimg.com/media/CUNr4-7UwAAg2lq.jpg,Chihuahua,0.143957
9,667502640335572993,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Say hello to Hall and Oates. Oates is winking and Hall is contemplating the artistic entropy of the universe. 11/10s ,https://twitter.com/dog_rates/status/667502640335572993/photo/1,11,10,Hall,,2015,11,20,https://t.co/n5Wtb5Hvsl,517.0,212.0,https://pbs.twimg.com/media/CUNyHTMUYAAQVch.jpg,Labrador_retriever,0.996709
